"","Motu","Specific_location","Nearest_200m_transects_biomass_kg_ha_nov","Nearest_200m_transects_biomass_kg_ha_jun","mean_seabird_biomass_200m_kg_ha","sd_seabird_biomass_200m_kg_ha","Nearest_200m_transects_n_input_kg_ha_yr_nov","Nearest_200m_transects_n_input_kg_ha_yr_jun","Nearest_200m_transects_n_input_kg_ha_day_nov","Nearest_200m_transects_n_input_kg_ha_day_jun","mean_seabird_n_input_200m_kg_ha_day","sd_seabird_n_input_200m_kg_ha_day","mean_seabird_n_input_200m_kg_ha_yr","sd_seabird_n_input_200m_kg_ha_yr"
"1","Aie","leeward",125.748,89.136,107.442,25.8885934728019,132.755469052845,101.787294060281,0.36371361384341,0.278869298795292,0.321291456319351,0.0599939905156521,117.271381556563,21.8978065382137
"2","Aie","windward",223.332,175.896,199.614,33.5423172723651,193.963283819659,152.080199224069,0.531406257040163,0.416658080065943,0.474032168553053,0.081139214067265,173.021741521864,29.6158131345515
"3","Auroa","unknown",554.666666666667,396.5,475.583333333333,111.840722557672,453.523914507547,324.198735761254,1.24253127262342,0.888215714414395,1.06537349351891,0.250538933889498,388.8613251344,91.4467108696661
"4","Hir/Tau Hoa","hoa",554.666666666667,396.5,475.583333333333,111.840722557672,453.523914507547,324.198735761254,1.24253127262342,0.888215714414395,1.06537349351891,0.250538933889498,388.8613251344,91.4467108696661
"5","Hiranae","",292.5,159.25,225.875,94.2219785931075,239.163001791089,130.210967641815,0.655241100797504,0.356742377100863,0.505991738949183,0.211070471701424,184.686984716452,77.04072217102
"6","Hiranae","hoa",554.666666666667,396.5,475.583333333333,111.840722557672,453.523914507547,324.198735761254,1.24253127262342,0.888215714414395,1.06537349351891,0.250538933889498,388.8613251344,91.4467108696661
"7","Hiranae","lagoon_side",292.5,159.25,225.875,94.2219785931075,239.163001791089,130.210967641815,0.655241100797504,0.356742377100863,0.505991738949183,0.211070471701424,184.686984716452,77.04072217102
"8","Oroatera","lagoon_side",153.214285714286,55.7142857142857,104.464285714286,68.9429111656886,125.275858081047,45.554857484017,0.343221528989169,0.124807828723334,0.234014678856252,0.154441808562018,85.415357782532,56.3712601251367
"9","Oroatera","south_outside",3.9,0,1.95,2.75771644662754,3.18884002388119,0,0.00873654801063339,0,0.0043682740053167,0.00617767234248071,1.5944200119406,2.25485040500546
"10","Reiono","leeward",249.28,173,211.14,53.9381052689098,206.084284160291,142.203870093978,0.564614477151483,0.389599644093089,0.477107060622286,0.123754175263822,174.144077127134,45.1702739712944
"11","Reiono","windward",145.236,47.268,96.252,69.2738371392837,119.664134366843,39.1046070281938,0.327846943470803,0.107135909666284,0.217491426568544,0.156066268685869,79.3843706975184,56.9641880703419
"12","Rimatuu","leeward",6.3,0,3.15,4.45477272147525,9.45256157346834,0,0.0258974289684064,0,0.0129487144842032,0.0183122476388571,4.72628078673417,6.68397038818285
"13","Rimatuu","windward",6.588,0,3.294,4.65841947445698,10.7026973937982,0,0.0293224586131458,0,0.0146612293065729,0.0207341093264173,5.3513486968991,7.5679499041423
"14","Tauini","hoa",555.57,481.136,518.353,52.6327861508395,454.277475251296,393.026389587318,1.24459582260629,1.07678462900635,1.16069022580632,0.118660432953526,423.651932419307,43.3110580280369
"15","Tiaraunu","south_outside",0,0,0,0,0,0,0,0,0,0,0,0
